Provenance;Terms involved;Ontology;Requirement description;Result
Open Connectivity Foundation (OCF);["Entity"];ISO/IEC 30141:2017;Entity exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Device"];ISO/IEC 30141:2017;Device exists in the owlOntology;passed
Open Connectivity Foundation (OCF);["Transportation"];ISO/IEC 30141:2017;Transportation exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Electronics"];ISO/IEC 30141:2017;Electronics exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Resource"];ISO/IEC 30141:2017;Resource exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["CommunicationProtocol"];ISO/IEC 30141:2017;CommunicationProtocol exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Maintenance"];ISO/IEC 30141:2017;Maintenance exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Aspect"];ISO/IEC 30141:2017;Aspect exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Security"];ISO/IEC 30141:2017;Security exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Role"];ISO/IEC 30141:2017;Role exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Endpoint"];ISO/IEC 30141:2017;Endpoint exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Functionality"];ISO/IEC 30141:2017;Functionality exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["State"];ISO/IEC 30141:2017;State exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Lighting"];ISO/IEC 30141:2017;Lighting exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["SpaceConditioning"];ISO/IEC 30141:2017;SpaceConditioning exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Infrastructure"];ISO/IEC 30141:2017;Infrastructure exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Medica"];ISO/IEC 30141:2017;Medica exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["PersonalHealth"];ISO/IEC 30141:2017;PersonalHealth exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Property"];ISO/IEC 30141:2017;Property exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);["Link"];ISO/IEC 30141:2017;Link exists in the owlOntology;passed
Open Connectivity Foundation (OCF);["Fitness"];ISO/IEC 30141:2017;Fitness exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["serialNumber","Property"]';ISO/IEC 30141:2017;serialNumber exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["address","Property"]';ISO/IEC 30141:2017;address exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["encapsulates","Property"]';ISO/IEC 30141:2017;encapsulates exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["describesAspect","Property"]';ISO/IEC 30141:2017;describesAspect exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["isProvidedOverProtocol","Property"]';ISO/IEC 30141:2017;isProvidedOverProtocol exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["hosts","Property"]';ISO/IEC 30141:2017;hosts exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["consistsOf","Property"]';ISO/IEC 30141:2017;consistsOf exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["communicatesWith","Property"]';ISO/IEC 30141:2017;communicatesWith exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["deviceName","Property"]';ISO/IEC 30141:2017;deviceName exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["makesAccessible","Property"]';ISO/IEC 30141:2017;makesAccessible exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["isAccessibleThrough","Property"]';ISO/IEC 30141:2017;isAccessibleThrough exists in the owlOntology;passed
Open Connectivity Foundation (OCF);'["exposes","Property"]';ISO/IEC 30141:2017;exposes exists in the owlOntology;passed
Open Connectivity Foundation (OCF);'["hasFunctionality","Property"]';ISO/IEC 30141:2017;hasFunctionality exists in the owlOntology;undefined
Open Connectivity Foundation (OCF);'["hasUsers","Property"]';ISO/IEC 30141:2017;hasUsers exists in the owlOntology;undefined
